Category,Course Title,Course URL
postgraduate,MSc Innovation Management and Entrepreneurship,https://www.bournemouth.ac.uk/study/courses/msc-innovation-management-entrepreneurship-0
postgraduate,MSc International Management,https://www.bournemouth.ac.uk/study/courses/msc-international-management
postgraduate,MSc Management with Business Analytics,https://www.bournemouth.ac.uk/study/courses/msc-management-business-analytics
postgraduate,MSc Management with Human Resources,https://www.bournemouth.ac.uk/study/courses/msc-management-human-resources
postgraduate,MSc Marketing Management,https://www.bournemouth.ac.uk/study/courses/msc-marketing-management
postgraduate,MSc Organisational Project Management,https://www.bournemouth.ac.uk/study/courses/msc-organisational-project-management
postgraduate,MSc Sport Business Leadership,https://www.bournemouth.ac.uk/study/courses/msc-sport-business-leadership
postgraduate,MSc Sport Management,https://www.bournemouth.ac.uk/study/courses/msc-sport-management
postgraduate,MA 3D Computer Animation,https://www.bournemouth.ac.uk/study/courses/ma-3d-computer-animation
postgraduate,MA Digital Effects,https://www.bournemouth.ac.uk/study/courses/ma-digital-effects
postgraduate,MSc Artificial Intelligence for Media,https://www.bournemouth.ac.uk/study/courses/msc-artificial-intelligence-media
postgraduate,MSc Computer Animation and Visual Effects,https://www.bournemouth.ac.uk/study/courses/msc-computer-animation-visual-effects
postgraduate,MSc Human Centred Artificial Intelligence for Games Development,https://www.bournemouth.ac.uk/study/courses/msc-human-centred-artificial-intelligence-games-development
postgraduate,MSc Artificial Intelligence for Media,https://www.bournemouth.ac.uk/study/courses/msc-artificial-intelligence-media
postgraduate,MSc Computer Science,https://www.bournemouth.ac.uk/study/courses/msc-computer-science
postgraduate,MSc Cyber Security,https://www.bournemouth.ac.uk/study/courses/msc-cyber-security
postgraduate,MSc Cyber Security and Human Factors,https://www.bournemouth.ac.uk/study/courses/msc-cyber-security-human-factors
postgraduate,MSc Data Science and Artificial Intelligence,https://www.bournemouth.ac.uk/study/courses/msc-data-science-artificial-intelligence
postgraduate,MSc Digital Health,https://www.bournemouth.ac.uk/study/courses/msc-digital-health
postgraduate,MSc Financial Technology (FinTech),https://www.bournemouth.ac.uk/study/courses/msc-financial-technology-fintech
postgraduate,MSc Human Centred Artificial Intelligence,https://www.bournemouth.ac.uk/study/courses/msc-human-centred-artificial-intelligence
postgraduate,MSc Human Centred Artificial Intelligence for Games Development,https://www.bournemouth.ac.uk/study/courses/msc-human-centred-artificial-intelligence-games-development
postgraduate,MSc Information Technology,https://www.bournemouth.ac.uk/study/courses/msc-information-technology
postgraduate,MSc Engineering Project Management,https://www.bournemouth.ac.uk/study/courses/msc-engineering-project-management
postgraduate,MSc Mechanical Engineering,https://www.bournemouth.ac.uk/study/courses/msc-mechanical-engineering
postgraduate,MSc Disaster Management,https://www.bournemouth.ac.uk/study/courses/msc-disaster-management-1
postgraduate,PG Cert Education Practice,https://www.bournemouth.ac.uk/study/courses/pg-cert-education-practice
postgraduate,MA Advanced Practice,https://www.bournemouth.ac.uk/study/courses/ma-advanced-practice
postgraduate,MA Leading & Developing Services,https://www.bournemouth.ac.uk/study/courses/ma-leading-developing-services
postgraduate,MA Social Work,https://www.bournemouth.ac.uk/study/courses/ma-social-work
